R.I.;Designation;ATA;Nb of delays;Nb of cancellations;D&C cost (k€)
1;ELECTRICAL POWER - AC GENERATION ;24-21;6;9;87
2;FLIGHT CONTROLS - FLAPS - FLAPS ;27-50;9;8;52
3;FUEL AND CONTROL - CONTROLLING - ENGINE CONTROL AND FAULT MONITORING ;73-21;7;7;175
4;LANDING GEAR - WHEELS & BRAKES - WHEELS ;32-41;35;1;266
5;TIME LIMITS - MAINTENANCE CHECKS - SCHEDULE MAINTENANCE CHECKS - SCHEDULED MAINTENANCE CHECKS ;05-20;34;1;312
6;LANDING GEAR - WHEELS & BRAKES - NORMAL BRAKING ;32-42;16;6;203
7;HYDRAULIC POWER - HYDRAULIC POWER - MAIN - HYDRAULIC SYSTEM;29-12;8;5;47
8;HYDRAULIC POWER - HYDRAULIC POWER - MAIN - GREEN MAIN HYDRAULIC POWER ;29-11;15;5;48
9;AIRBORNE AUXIL POWER - OIL - PB ;49-91;9;1;50
10;PNEUMATIC - INDICATING ;36-22;1;0;9